factor,error
ATR扩张比,"max_loss (35.0%) exceeded 100.0%, consider increasing it."
MACD,"max_loss (35.0%) exceeded 98.9%, consider increasing it."
ZG站稳天数,"max_loss (35.0%) exceeded 100.0%, consider increasing it."
中枢,"max_loss (35.0%) exceeded 98.9%, consider increasing it."
中枢质量,"max_loss (35.0%) exceeded 100.0%, consider increasing it."
二次放量启动,"max_loss (35.0%) exceeded 84.5%, consider increasing it."
前低防守距离,"max_loss (35.0%) exceeded 88.3%, consider increasing it."
区间位置,"max_loss (35.0%) exceeded 49.3%, consider increasing it."
反弹力度,"max_loss (35.0%) exceeded 83.1%, consider increasing it."
回抽深度,"max_loss (35.0%) exceeded 100.0%, consider increasing it."
底分型,"max_loss (35.0%) exceeded 67.3%, consider increasing it."
时间消化,"max_loss (35.0%) exceeded 98.4%, consider increasing it."
核心验证,"max_loss (35.0%) exceeded 77.1%, consider increasing it."
波动压缩,"max_loss (35.0%) exceeded 87.2%, consider increasing it."
相对强度,"max_loss (35.0%) exceeded 79.0%, consider increasing it."
突破量持续性,"max_loss (35.0%) exceeded 100.0%, consider increasing it."
距离,"max_loss (35.0%) exceeded 98.9%, consider increasing it."
量比,"max_loss (35.0%) exceeded 98.9%, consider increasing it."
